Dates,ACMESIE LX Equity,RCMSTYL LX Equity,ALEPTEU LX Equity,AEEI2EC LX Equity,CAIXEIA LX Equity,AXWEOFC LX Equity,AXWECEI LX Equity,MEREMAI LX Equity,ETDD FP Equity,CSEMICE LX Equity,CSESDBEL LX Equity,CSIEEDE LX Equity,PAMEULF BB Equity,DIICEIC LX Equity,DWSTEFC LX Equity,STHOPMI FP Equity,FIDFEBI LX Equity,FJ2C GR Equity,GEQ50AD LX Equity,HSBEURQ LX Equity,HSBCLGI LX Equity,BGEURAX LX Equity,HENEUDI LX Equity,JPEDCAC LX Equity,FLEEUEC LX Equity,SGEURIE LX Equity,METVSRI FP Equity,MEZEI1E ID Equity,NATISRI LX Equity,MOREFAI LX Equity,INGEHDI LX Equity,PIPTFEI LX Equity,SIEEACE LX Equity,SSEIIEU LX Equity,SSGFESI LX Equity,TEMGRIA LX Equity,UBSEITL LX Equity,UECIEQD LX Equity,UGEURSA LX Equity,VANESII ID Equity
10/08/2018,29.6,12.18,1196.79,9.47,1860.38,80.68,251.98,29.52,9.037,1209.41,1014.6,1160.73,205.86,300.57,230.34,227.68,22.69,10.55,119.16,42.702,19.291,109.73,49.34,141.02,24.68,1496.5474,321.1,209.38,75047.07,13.02,641.78,194.44,94.7409,12.6903,10.35,22.88,101.53,91.36,1189.77,200.8509
13/08/2018,29.63,12.08,1191.71,9.41,1855.76,80.6,251.67,29.59,8.998,1207.39,997.9,1156.66,205.85,299.29,230.93,227.47,22.64,10.43,118.38,42.501,19.262,109.28,48.61,141.25,24.65,1491.3854,319.34,208.79,74902.13,13,641.53,193.94,94.5908,12.6456,10.28,22.69,101.53,91.4,1189.45,199.8382
14/08/2018,29.52,12.11,1201.09,9.42,1856.02,80.65,251.8,29.44,8.995,1210.27,997.2,1156.03,205.65,299.36,230.33,227.54,22.62,10.49,118.36,42.332,19.26,108.84,48.84,140.77,24.58,1490.0771,318,209.01,74920.96,12.98,640.27,193.97,94.6191,12.639,10.25,22.61,101.46,91.55,1190.22,200.0245
15/08/2018,29.52,12.11,1201.09,9.42,1830.55,80.65,251.8,29.44,8.842,1210.27,997.2,1156.03,205.65,299.36,230.33,227.54,22.34,10.32,118.36,42.332,19.26,108.84,48.84,139.06,24.3,1468.9468,314.27,206.72,74920.96,12.98,632.74,193.97,95.1988,12.639,10.25,22.31,101.46,91.55,1190.22,197.1862
16/08/2018,29.25,11.94,1188.33,9.32,1840.2,80.22,250.45,29.1,8.912,1199.58,997.1,1145.65,204.22,296.52,227.97,226.55,22.5,10.31,117.06,41.937,19.115,108.65,48.24,139.33,24.31,1476.6381,315.78,207.84,74416.21,12.85,635.91,192.31,94.9188,12.5254,10.16,22.46,100.79,91.21,1184.12,198.2157
17/08/2018,29.17,11.97,1191.9,9.3,1838.79,80.14,250.04,29.06,8.894,1199.3,990.3,1143.86,204.06,296.35,227.2,226.15,22.44,10.39,116.96,41.743,19.094,108.16,48.09,138.87,24.24,1474.2261,314.99,207.36,74345.15,12.87,635.04,192.16,95.3054,12.5057,10.15,22.41,100.66,91.08,1182.66,197.9064
20/08/2018,29.37,12.02,1197.83,9.36,1849.37,80.65,252.01,29.36,8.955,1208.45,988.1,1151.76,205.3,298.99,229.46,227.66,22.54,10.4,117.83,42.082,19.317,108.02,48.5,140.21,24.49,1484.4392,316.65,208.68,74802.96,13.02,638.15,193.26,95.7478,12.5915,10.21,22.55,101.5,91.55,1188.92,199.2682
21/08/2018,29.52,12.08,1209.15,9.4,1853.5,80.8,253.06,29.5,9.004,1211.82,994.7,1157.56,206.26,300.44,230.64,228.52,22.69,10.43,118.46,42.384,19.363,108.57,48.89,141.07,24.65,1492.1888,319.3,209.69,75129,13.09,641.4,193.7,95.5171,12.6549,10.3,22.68,101.81,91.76,1193.49,200.2726
22/08/2018,29.48,12.11,1208.61,9.43,1852.66,80.82,252.7,29.36,9.027,1212.05,998.8,1158.68,206.54,299.58,230.23,228.64,22.7,10.47,118.86,42.407,19.382,108.89,49,140.99,24.65,1494.0319,319.85,210.16,75088.13,13.06,643.39,193.61,95.4817,12.6671,10.26,22.79,102.32,92.02,1194.15,200.1575
23/08/2018,29.49,12.12,1211.35,9.43,1849.52,80.81,252.6,29.4,9.024,1211.09,1002.4,1157.87,206.68,298.7,231.11,228.64,22.72,10.49,118.8,42.299,19.431,108.83,48.98,141.29,24.68,1493.3765,319.49,210.28,74980.22,13.05,643.18,193.28,95.7319,12.658,10.23,22.79,102.59,92,1193.57,200.3144
